LV_grid,LV_osmid,Nominal_power_kW,Thermal_capacitance_KWh/K,Thermal_conductivity_kW/K,COP,COP_0,COP_1,COP_2,Temperature_profile_name
2703-23_0_4,28,21.723542472552783,58.74999999999999,0.7930354275120803,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,66,10.293866595062308,26.166666666666664,0.37911449392704,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,67,15.333118718446602,38.5,0.5578054018926514,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,69,0.2745945999999999,0.4166666666666666,0.0067159983488865,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,70,13.839262759922477,35.08333333333333,0.5353251456203887,3.59,5.760000000000001,-0.0925666666666666,0.0005143333333333,BAS
2703-23_0_4,74,10.62169674140187,27.0,0.3911882039247165,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,76,21.90047823827189,56.66666666666666,0.9217205289846157,3.64,5.84,-0.0938499999999999,0.0005215,BAS
2703-23_0_4,78,12.456538652596686,32.166666666666664,0.4660452059103104,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,100,15.830947248266297,39.75,0.5759159668891659,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,101,40.87987972364093,114.33333333333331,1.5425172021259543,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,111,7.580357764345493,19.25,0.3017958832666106,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,114,14.143438079796136,35.916666666666664,0.5630910202939791,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,118,16.21164019655669,41.83333333333333,0.6061002418833571,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,119,11.690465639748052,30.166666666666664,0.4370683019158869,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,122,13.795417632664089,37.25,0.5025548027334561,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,123,12.87320225667163,32.58333333333333,0.4720820609091485,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,126,35.75523695842811,90.5,1.311204905747661,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,130,13.8219818911468,35.33333333333333,0.5365032658730422,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,131,12.88372475114486,32.75,0.4744968029086838,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,133,9.03637672482663,22.416666666666668,0.324782798937496,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,144,14.27469968610515,36.25,0.5683169230345264,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,145,0.2745945999999999,0.4166666666666666,0.0043301538280247,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,148,11.109171768158369,28.666666666666664,0.4153356239200693,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,149,11.929616591973804,29.916666666666668,0.433446188916584,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,150,9.152813880702594,23.166666666666664,0.3356491379354049,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,156,13.506602029190033,34.33333333333333,0.4974368519042691,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,157,6.146233659422448,15.0,0.2173267799581758,3.69,5.919999999999999,-0.0951333333333333,0.0005286666666666,BAS
2703-23_0_4,159,15.297005199201454,39.5,0.6366766434744491,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,163,18.1945731218458,46.25,0.6700909048710422,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,164,8.148676028066298,20.75,0.3006353789421432,3.64,5.84,-0.0938499999999999,0.0005215,BAS
2703-23_0_4,166,22.816978185233648,58.0,0.8403302158382799,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,172,9.55905477725255,24.666666666666664,0.3573818159312225,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,176,11.09319789372396,28.25,0.4546655447044627,3.49,5.6,-0.09,0.0005,BAS
