day,index,weight
01-07,6,11
01-08,7,28
01-09,8,11
01-30,29,17
03-07,65,26
04-22,111,13
04-26,115,15
05-24,143,23
06-09,159,5
06-11,161,21
07-26,206,27
08-04,215,16
08-19,230,17
08-24,235,24
09-27,269,23
10-07,279,11
10-27,299,13
10-29,301,32
12-08,341,13
12-13,346,19
