LV_grid,LV_osmid,P_installed_kW
2703-23_0_4,0,4.554172175769593
2703-23_0_4,1,4.676419149028899
2703-23_0_4,2,4.048551485133383
2703-23_0_4,7,7.699071086728623
2703-23_0_4,8,3.0359034010029813
2703-23_0_4,9,4.13251297455326
2703-23_0_4,10,22.25996347852476
2703-23_0_4,11,3.170603764389408
2703-23_0_4,15,5.004070177902336
2703-23_0_4,17,8.365590625195352
2703-23_0_4,21,5.243061508117713
2703-23_0_4,24,1.8128182140516629
2703-23_0_4,25,7.428481602260679
2703-23_0_4,26,10.063413811328704
2703-23_0_4,28,4.277197911544889
2703-23_0_4,29,4.574879127179368
2703-23_0_4,30,4.427794807278281
2703-23_0_4,31,5.9251140901799735
2703-23_0_4,32,7.012528052455062
2703-23_0_4,34,7.503533039480744
2703-23_0_4,36,9.523055600385108
2703-23_0_4,40,2.491797506399984
2703-23_0_4,42,4.793014360143076
2703-23_0_4,45,5.482412094798844
2703-23_0_4,46,3.785951342802965
2703-23_0_4,49,2.8176953479688365
2703-23_0_4,51,5.641314268581832
2703-23_0_4,52,25.842808901512573
2703-23_0_4,53,4.707884989732724
2703-23_0_4,56,4.620758645266164
2703-23_0_4,57,9.333006014577045
2703-23_0_4,59,2.8402131728188587
2703-23_0_4,60,5.595718288378718
2703-23_0_4,62,4.995367305319888
2703-23_0_4,63,11.151626768220888
2703-23_0_4,64,2.826264910527136
2703-23_0_4,65,8.018610487048818
2703-23_0_4,66,6.760049234350572
2703-23_0_4,67,5.142468709283168
2703-23_0_4,70,4.688739756380516
2703-23_0_4,72,2.880241393021729
2703-23_0_4,73,8.458286311905912
2703-23_0_4,79,3.972269050140941
2703-23_0_4,81,23.39755611690502
2703-23_0_4,82,11.77424122598164
2703-23_0_4,83,2.7206419732614395
2703-23_0_4,84,3.3303412183313466
2703-23_0_4,86,7.442259611003511
2703-23_0_4,90,10.54871001117546
2703-23_0_4,91,5.913976012523714
2703-23_0_4,98,2.852388945890361
2703-23_0_4,99,1.9774871972235843
2703-23_0_4,100,3.637460284046706
2703-23_0_4,101,12.943098014542946
2703-23_0_4,102,12.835121715424744
2703-23_0_4,104,4.519255088910393
2703-23_0_4,105,3.750714604709552
2703-23_0_4,108,3.67639179738485
2703-23_0_4,109,14.002852461954795
2703-23_0_4,110,13.958047212543782
2703-23_0_4,111,4.04183183124023
2703-23_0_4,112,6.795033522518071
2703-23_0_4,113,4.920702121052643
2703-23_0_4,119,9.249119748921323
2703-23_0_4,120,10.697520609619932
2703-23_0_4,123,9.224306166533063
2703-23_0_4,124,11.841688963265636
2703-23_0_4,125,13.259709419661975
2703-23_0_4,126,22.217816673609995
2703-23_0_4,130,5.594871484030416
2703-23_0_4,132,2.4742269013410514
2703-23_0_4,133,23.77389263925758
2703-23_0_4,134,4.511681944859112
2703-23_0_4,135,16.11627687617772
2703-23_0_4,138,5.471423129181204
2703-23_0_4,140,7.992871731683794
2703-23_0_4,142,4.065176811537446
2703-23_0_4,143,4.440319440061524
2703-23_0_4,144,8.865972789785468
2703-23_0_4,146,6.357349029883309
2703-23_0_4,147,11.968622555927018
2703-23_0_4,148,11.02435540783891
2703-23_0_4,149,7.795472501328879
2703-23_0_4,151,10.168264369831672
2703-23_0_4,153,6.087165133252476
2703-23_0_4,154,4.355633389400007
2703-23_0_4,155,7.382591809119163
2703-23_0_4,156,10.771006791386766
2703-23_0_4,157,14.087236920162455
2703-23_0_4,158,6.073138402649784
2703-23_0_4,159,1.9241785877343545
2703-23_0_4,161,5.329321008240448
2703-23_0_4,163,9.452764241815908
2703-23_0_4,164,6.462391323300775
2703-23_0_4,165,4.16524722334418
2703-23_0_4,166,17.670333606258986
2703-23_0_4,167,4.684735505190402
2703-23_0_4,168,4.82133084246454
2703-23_0_4,171,6.754446577373328
2703-23_0_4,172,5.044303434093002
2703-23_0_4,173,7.386528930353871
2703-23_0_4,174,7.644446628638189
2703-23_0_4,175,7.71568048168383
2703-23_0_4,176,7.225819923504274
2703-23_0_4,178,2.3766320914328705
2703-23_0_4,181,18.730180576674616
