day,index,weight
01-06,5,9
01-07,6,10
01-25,24,42
01-30,29,27
02-03,33,10
02-04,34,10
02-13,43,10
03-07,65,30
03-10,68,10
04-15,104,4
04-22,111,10
05-14,133,29
06-11,161,21
07-22,202,10
07-26,206,31
08-05,216,8
08-24,235,27
08-25,236,13
09-17,259,22
10-17,289,32
