LV_grid,LV_osmid,Nominal_power_kW,Thermal_capacitance_KWh/K,Thermal_conductivity_kW/K,COP,COP_0,COP_1,COP_2,Temperature_profile_name
2703-23_0_4,7,20.06320495598131,51.0,0.7389110518577978,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,10,33.67026175418106,92.91666666666666,1.5113505732615389,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,15,10.801781144144142,29.166666666666664,0.393499286256621,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,17,19.44032767793614,49.41666666666666,0.7159710028622126,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,18,9.778365908520394,24.75,0.35858918693099,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,21,18.686318341355143,47.5,0.6882014698675567,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,24,12.047450421636617,30.25,0.4382756729156546,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,25,9.90047041945483,25.166666666666664,0.3646260419298283,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,28,21.723542472552783,58.74999999999999,0.7930354275120803,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,30,6.674266077329133,18.666666666666664,0.2518395432042374,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,31,7.967557406942543,20.166666666666664,0.2921837819437697,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,33,7.383465354881974,18.75,0.2939570291557895,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,36,14.424526438940813,36.66666666666666,0.5312432398977631,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,42,36.256609859710096,92.25,1.4094250770047931,3.64,5.84,-0.0938499999999999,0.0005215,BAS
2703-23_0_4,45,11.506838136518695,29.25,0.4237872209184429,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,46,10.419669078023013,26.666666666666668,0.4337508371692308,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,54,37.25988659003455,101.33333333333331,1.3671289488230034,3.64,5.84,-0.0938499999999999,0.0005215,BAS
2703-23_0_4,55,4.776280104392015,12.333333333333332,0.2006097621907693,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,58,7.37617829264019,18.75,0.2716584749477198,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,60,12.195281443831776,31.0,0.4491420119135633,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,64,11.226822256033286,27.916666666666668,0.4044692849221606,3.64,5.84,-0.0938499999999999,0.0005215,BAS
2703-23_0_4,66,10.293866595062308,26.166666666666664,0.37911449392704,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,67,15.333118718446602,38.5,0.5578054018926514,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,69,0.2745945999999999,0.4166666666666666,0.0067159983488865,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,70,13.839262759922477,35.08333333333333,0.5353251456203887,3.59,5.760000000000001,-0.0925666666666666,0.0005143333333333,BAS
2703-23_0_4,74,10.62169674140187,27.0,0.3911882039247165,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,76,21.90047823827189,56.66666666666666,0.9217205289846157,3.64,5.84,-0.0938499999999999,0.0005215,BAS
2703-23_0_4,78,12.456538652596686,32.166666666666664,0.4660452059103104,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,89,10.403917936338196,26.33333333333333,0.3815292359265753,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,98,14.618163176373924,37.0,0.5360727238968337,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,99,9.390810227734804,24.25,0.3513449609323843,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,100,15.830947248266297,39.75,0.5759159668891659,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,101,40.87987972364093,114.33333333333331,1.5425172021259543,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,105,5.034457407332123,13.0,0.21145353312,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,108,7.934633616004766,20.08333333333333,0.290976410944002,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,109,9.745442117582616,24.666666666666664,0.3573818159312225,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,111,7.580357764345493,19.25,0.3017958832666106,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,114,14.143438079796136,35.916666666666664,0.5630910202939791,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,118,16.21164019655669,41.83333333333333,0.6061002418833571,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,119,11.690465639748052,30.166666666666664,0.4370683019158869,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,122,13.795417632664089,37.25,0.5025548027334561,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,123,12.87320225667163,32.58333333333333,0.4720820609091485,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,126,35.75523695842811,90.5,1.311204905747661,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,130,13.8219818911468,35.33333333333333,0.5365032658730422,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,131,12.88372475114486,32.75,0.4744968029086838,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,133,9.03637672482663,22.416666666666668,0.324782798937496,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,138,11.655021991973804,29.5,0.4274093339177458,3.79,6.08,-0.0977,0.000543,BAS
