LV_grid,LV_osmid,Battery_capacity_kWh,Nominal_power_kW,Charging_efficiency,Discharging_efficiency
2703-23_0_4,1,9.352838298057797,4.676419149028899,0.9219544457292888,0.9219544457292888
2703-23_0_4,10,17.242639624778867,8.621319812389434,0.9219544457292888,0.9219544457292888
2703-23_0_4,25,14.856963204521358,7.428481602260679,0.9219544457292888,0.9219544457292888
2703-23_0_4,34,15.007066078961488,7.503533039480744,0.9219544457292888,0.9219544457292888
2703-23_0_4,53,3.5434798751150662,1.7717399375575331,0.9219544457292888,0.9219544457292888
2703-23_0_4,62,9.990734610639777,4.995367305319888,0.9219544457292888,0.9219544457292888
2703-23_0_4,63,22.303253536441776,11.151626768220888,0.9219544457292888,0.9219544457292888
2703-23_0_4,67,10.284937418566336,5.142468709283168,0.9219544457292888,0.9219544457292888
2703-23_0_4,125,26.51941883932395,13.259709419661975,0.9219544457292888,0.9219544457292888
2703-23_0_4,142,8.130353623074893,4.065176811537446,0.9219544457292888,0.9219544457292888
2703-23_0_4,155,9.578840188693754,4.789420094346877,0.9219544457292888,0.9219544457292888
2703-23_0_4,157,28.17447384032491,14.087236920162455,0.9219544457292888,0.9219544457292888
2703-23_0_4,181,37.46036115334923,18.730180576674616,0.9219544457292888,0.9219544457292888
2703-23_0_4,52,40.56840442719872,20.28420221359936,0.9219544457292888,0.9219544457292888
2703-23_0_4,84,4.483208827082831,2.2416044135414155,0.9219544457292888,0.9219544457292888
2703-23_0_4,90,9.552111467651441,4.776055733825721,0.9219544457292888,0.9219544457292888
2703-23_0_4,82,18.53067378218871,9.265336891094355,0.9219544457292888,0.9219544457292888
2703-23_0_4,110,27.916094425087564,13.958047212543782,0.9219544457292888,0.9219544457292888
2703-23_0_4,70,6.165006851977457,3.0825034259887283,0.9219544457292888,0.9219544457292888
2703-23_0_4,9,8.26502594910652,4.13251297455326,0.9219544457292888,0.9219544457292888
2703-23_0_4,17,16.731181250390705,8.365590625195352,0.9219544457292888,0.9219544457292888
2703-23_0_4,98,5.704777891780722,2.852388945890361,0.9219544457292888,0.9219544457292888
2703-23_0_4,59,5.680426345637717,2.8402131728188587,0.9219544457292888,0.9219544457292888
2703-23_0_4,174,15.288893257276378,7.644446628638189,0.9219544457292888,0.9219544457292888
2703-23_0_4,29,9.149758254358735,4.574879127179368,0.9219544457292888,0.9219544457292888
2703-23_0_4,164,12.92478264660155,6.462391323300775,0.9219544457292888,0.9219544457292888
2703-23_0_4,166,3.5795786130058147,1.7897893065029074,0.9219544457292888,0.9219544457292888
2703-23_0_4,133,4.033204116442274,2.016602058221137,0.9219544457292888,0.9219544457292888
