LV_grid,LV_osmid,Battery_capacity_kWh,Nominal_power_kW,Charging_efficiency,Discharging_efficiency
2703-23_0_4,1,11.691047872572248,4.676419149028899,0.9219544457292888,0.9219544457292888
2703-23_0_4,10,21.553299530973582,8.621319812389434,0.9219544457292888,0.9219544457292888
2703-23_0_4,25,18.571204005651698,7.428481602260679,0.9219544457292888,0.9219544457292888
2703-23_0_4,34,18.75883259870186,7.503533039480744,0.9219544457292888,0.9219544457292888
2703-23_0_4,53,4.429349843893833,1.7717399375575331,0.9219544457292888,0.9219544457292888
2703-23_0_4,62,12.48841826329972,4.995367305319888,0.9219544457292888,0.9219544457292888
2703-23_0_4,63,27.87906692055222,11.151626768220888,0.9219544457292888,0.9219544457292888
2703-23_0_4,67,12.85617177320792,5.142468709283168,0.9219544457292888,0.9219544457292888
2703-23_0_4,125,33.14927354915494,13.259709419661975,0.9219544457292888,0.9219544457292888
2703-23_0_4,142,10.162942028843617,4.065176811537446,0.9219544457292888,0.9219544457292888
2703-23_0_4,155,11.973550235867192,4.789420094346877,0.9219544457292888,0.9219544457292888
2703-23_0_4,157,35.21809230040614,14.087236920162455,0.9219544457292888,0.9219544457292888
2703-23_0_4,181,46.82545144168654,18.730180576674616,0.9219544457292888,0.9219544457292888
2703-23_0_4,52,50.71050553399839,20.28420221359936,0.9219544457292888,0.9219544457292888
2703-23_0_4,84,5.6040110338535385,2.2416044135414155,0.9219544457292888,0.9219544457292888
2703-23_0_4,90,11.940139334564302,4.776055733825721,0.9219544457292888,0.9219544457292888
2703-23_0_4,82,23.16334222773589,9.265336891094355,0.9219544457292888,0.9219544457292888
2703-23_0_4,110,34.89511803135946,13.958047212543782,0.9219544457292888,0.9219544457292888
2703-23_0_4,70,7.7062585649718205,3.0825034259887283,0.9219544457292888,0.9219544457292888
2703-23_0_4,9,10.331282436383148,4.13251297455326,0.9219544457292888,0.9219544457292888
2703-23_0_4,17,20.91397656298838,8.365590625195352,0.9219544457292888,0.9219544457292888
2703-23_0_4,98,7.130972364725903,2.852388945890361,0.9219544457292888,0.9219544457292888
2703-23_0_4,59,7.100532932047146,2.8402131728188587,0.9219544457292888,0.9219544457292888
2703-23_0_4,174,19.11111657159548,7.644446628638189,0.9219544457292888,0.9219544457292888
2703-23_0_4,29,11.43719781794842,4.574879127179368,0.9219544457292888,0.9219544457292888
2703-23_0_4,164,16.15597830825194,6.462391323300775,0.9219544457292888,0.9219544457292888
2703-23_0_4,166,4.474473266257268,1.7897893065029074,0.9219544457292888,0.9219544457292888
2703-23_0_4,133,5.041505145552843,2.016602058221137,0.9219544457292888,0.9219544457292888
