LV_grid,LV_osmid,EV_share
2703-23_0_4,0,0.0
2703-23_0_4,1,0.000284179456592805
2703-23_0_4,10,0.0003438322892080994
2703-23_0_4,100,0.00027796190244560275
2703-23_0_4,101,0.0008926858462610857
2703-23_0_4,102,0.0008649733644264014
2703-23_0_4,103,0.0
2703-23_0_4,104,0.0003310375038469497
2703-23_0_4,105,0.0
2703-23_0_4,106,0.0
2703-23_0_4,107,0.0
2703-23_0_4,108,0.00028174263864392553
2703-23_0_4,109,0.0
2703-23_0_4,11,0.0
2703-23_0_4,110,0.0
2703-23_0_4,111,0.000294044029143375
2703-23_0_4,112,0.0
2703-23_0_4,113,0.0
2703-23_0_4,114,0.0
2703-23_0_4,115,0.0
2703-23_0_4,117,0.0
2703-23_0_4,118,0.0
2703-23_0_4,119,0.0
2703-23_0_4,12,0.0
2703-23_0_4,120,0.0
2703-23_0_4,121,0.0
2703-23_0_4,122,0.0
2703-23_0_4,123,0.0
2703-23_0_4,124,0.0
2703-23_0_4,125,0.0
2703-23_0_4,126,0.0005599838107714847
2703-23_0_4,127,0.0
2703-23_0_4,128,0.0
2703-23_0_4,129,0.0
2703-23_0_4,13,0.0
2703-23_0_4,130,0.0
2703-23_0_4,131,0.0005050657975223562
2703-23_0_4,132,0.0
2703-23_0_4,133,0.0005512826452026144
2703-23_0_4,134,0.0
2703-23_0_4,135,0.0003928185955721103
2703-23_0_4,137,0.0
2703-23_0_4,138,0.0
2703-23_0_4,139,0.0
2703-23_0_4,14,0.0
2703-23_0_4,140,0.0004061580709517483
2703-23_0_4,141,0.0
2703-23_0_4,142,0.0
2703-23_0_4,143,0.0
2703-23_0_4,144,0.0003307377443769515
2703-23_0_4,145,0.0
2703-23_0_4,146,0.00027977772348463634
2703-23_0_4,147,0.0
2703-23_0_4,148,0.0
2703-23_0_4,149,0.0
2703-23_0_4,15,0.0
2703-23_0_4,150,0.0
2703-23_0_4,151,0.0
2703-23_0_4,153,0.00038407655561812016
2703-23_0_4,154,0.0
2703-23_0_4,155,0.0005432231853636156
2703-23_0_4,156,0.0
2703-23_0_4,157,0.0
2703-23_0_4,158,0.0
2703-23_0_4,159,0.00032680685493570303
2703-23_0_4,16,0.0
2703-23_0_4,160,0.0
2703-23_0_4,161,0.0
2703-23_0_4,162,0.0
2703-23_0_4,163,0.00047961151710041735
2703-23_0_4,164,0.0
2703-23_0_4,165,0.0
2703-23_0_4,166,0.0
2703-23_0_4,167,0.0
2703-23_0_4,168,0.0
2703-23_0_4,169,0.0
2703-23_0_4,17,0.0
2703-23_0_4,170,0.0
2703-23_0_4,171,0.0
2703-23_0_4,172,0.0
2703-23_0_4,173,0.0
2703-23_0_4,174,0.0
2703-23_0_4,175,0.0
2703-23_0_4,176,0.0
2703-23_0_4,178,0.0
2703-23_0_4,179,0.0
2703-23_0_4,18,0.0
2703-23_0_4,180,0.0
2703-23_0_4,181,0.0
2703-23_0_4,19,0.0
2703-23_0_4,2,0.0
2703-23_0_4,20,0.0
2703-23_0_4,21,0.0004160807664097625
2703-23_0_4,22,0.0
2703-23_0_4,23,0.0
2703-23_0_4,24,0.0003513595090973766
2703-23_0_4,25,0.0
2703-23_0_4,26,0.00039603096630616926
2703-23_0_4,27,0.0
2703-23_0_4,28,0.00044404689386421834
2703-23_0_4,29,0.0
2703-23_0_4,3,0.0
2703-23_0_4,30,0.0
2703-23_0_4,31,0.0
2703-23_0_4,32,0.0
2703-23_0_4,33,0.0
2703-23_0_4,34,0.0
2703-23_0_4,35,0.0
2703-23_0_4,36,0.0008115165044126919
2703-23_0_4,37,0.0
2703-23_0_4,38,0.0
2703-23_0_4,39,0.0
2703-23_0_4,4,0.0
2703-23_0_4,40,0.0007576851150790615
2703-23_0_4,41,0.00042984238755404625
2703-23_0_4,42,0.00036498069190608775
2703-23_0_4,43,0.00029183657679193574
2703-23_0_4,44,0.0
2703-23_0_4,45,0.0
2703-23_0_4,46,0.0
2703-23_0_4,47,0.0
2703-23_0_4,48,0.0
2703-23_0_4,49,0.0
2703-23_0_4,5,0.0
2703-23_0_4,50,0.0
2703-23_0_4,51,0.00039699807254708376
2703-23_0_4,52,0.001637319393785685
2703-23_0_4,53,0.00033175267958131125
2703-23_0_4,54,0.0008763802381180268
2703-23_0_4,55,0.0
2703-23_0_4,56,0.0
2703-23_0_4,57,0.00033195639447795335
2703-23_0_4,58,0.0
2703-23_0_4,59,0.0
2703-23_0_4,6,0.0
2703-23_0_4,60,0.0
2703-23_0_4,61,0.0
2703-23_0_4,62,0.0
2703-23_0_4,63,0.0
2703-23_0_4,64,0.0
2703-23_0_4,65,0.00040929654027145997
2703-23_0_4,66,0.00041035608690365925
2703-23_0_4,67,0.000592424827444708
2703-23_0_4,68,0.0
2703-23_0_4,69,0.0
2703-23_0_4,7,0.0
2703-23_0_4,70,0.0010199354807041954
2703-23_0_4,71,0.00038817250237174685
2703-23_0_4,72,0.0003670254680560818
2703-23_0_4,73,0.0004100837565990643
2703-23_0_4,74,0.0
2703-23_0_4,75,0.0
2703-23_0_4,76,0.0003671822659558735
2703-23_0_4,77,0.0
2703-23_0_4,78,0.00045833290502226036
2703-23_0_4,79,0.0003678128271436715
2703-23_0_4,8,0.0
2703-23_0_4,80,0.0
2703-23_0_4,81,0.0007622904315039281
2703-23_0_4,82,0.0007901163081216239
2703-23_0_4,83,0.00030975937560600854
2703-23_0_4,84,0.00031809935694639173
2703-23_0_4,85,0.0
2703-23_0_4,86,0.0
2703-23_0_4,87,0.00038816013154170117
2703-23_0_4,88,0.0
2703-23_0_4,89,0.00034303176554040227
2703-23_0_4,9,0.0
2703-23_0_4,90,0.0008038889089163315
2703-23_0_4,91,0.0
2703-23_0_4,92,0.0
2703-23_0_4,93,0.0
2703-23_0_4,94,0.0
2703-23_0_4,95,0.0
2703-23_0_4,96,0.0
2703-23_0_4,97,0.0
2703-23_0_4,98,0.0
2703-23_0_4,99,0.0
