day,index,weight
01-08,7,23
01-13,12,8
02-05,35,20
02-13,43,8
03-10,68,9
03-15,73,22
04-19,108,25
04-22,111,5
05-13,132,8
05-23,142,23
06-09,159,9
06-11,161,21
07-26,206,26
07-29,209,5
08-19,230,8
08-24,235,23
09-02,244,10
09-17,259,20
10-07,279,4
10-26,298,27
11-16,319,22
11-18,321,8
12-02,335,10
12-13,346,21
